seed,device,total_labels,arm,overall_accuracy,common_accuracy,rare_rule_accuracy,stochastic_pocket_accuracy,active_experts,birth_count,rare_rule_births,stochastic_false_births,surprise_rate,proposal_count,stochastic_rejections,expected_uncertainty_expert_0,rare_switch_margin_mean,stochastic_switch_margin_mean,forward_work,backward_work
2,cuda,1536,expected_only,0.8766666650772095,0.9678714871406555,0.7232376337051392,0.4893616735935211,1,0,0,0,0.22330729166666666,0,0,0.0019455252918287938,,,6072,1536
2,cuda,1536,unvalidated,0.8696666359901428,0.9647478461265564,0.710182785987854,0.4654255211353302,3,2,0,1,0.08854166666666667,2,0,0.20038910505836577,,-13.103136430560212,79953,72516
2,cuda,1536,joint,0.9106666445732117,0.9727799892425537,0.9451697468757629,0.5053191184997559,2,1,1,0,0.10091145833333333,3,1,0.1556420233463035,10.961303341094704,-30.539249790008814,87628,80116
2,cuda,1536,environment_oracle,0.9083333015441895,0.9634091854095459,0.9660574793815613,0.521276593208313,3,0,0,0,0.0,0,0,,,,21144,5760
3,cuda,512,single,0.7409999966621399,0.823371946811676,0.5162162184715271,0.4793814420700073,1,0,0,0,0.0,0,0,0.32684824902723736,,,4024,512
3,cuda,512,raw_loss,0.7409999966621399,0.823371946811676,0.5162162184715271,0.4793814420700073,1,0,0,0,0.0859375,0,0,0.26382978723404255,,,4024,512
3,cuda,512,expected_only,0.7409999966621399,0.823371946811676,0.5162162184715271,0.4793814420700073,1,0,0,0,0.044921875,0,0,0.2953156822810591,,,4024,512
3,cuda,512,unvalidated,0.7409999966621399,0.823371946811676,0.5162162184715271,0.4793814420700073,1,0,0,0,0.044921875,0,0,0.2953156822810591,,,4024,512
3,cuda,512,joint,0.7409999966621399,0.823371946811676,0.5162162184715271,0.4793814420700073,1,0,0,0,0.044921875,0,0,0.2953156822810591,,,4024,512
3,cuda,512,environment_oracle,0.8869999647140503,0.9603032469749451,0.8486486673355103,0.4999999701976776,3,0,0,0,0.0,0,0,,,,17048,5760
3,cuda,1024,single,0.7429999709129333,0.8095450401306152,0.6054054498672485,0.48969072103500366,1,0,0,0,0.0,0,0,0.18482490272373542,,,5048,1024
3,cuda,1024,raw_loss,0.7713333368301392,0.813113272190094,0.8432432413101196,0.46134018898010254,2,1,1,0,0.072265625,1,0,0.16926070038910507,30.848003017608374,,46513,41364
3,cuda,1024,expected_only,0.7429999709129333,0.8095450401306152,0.6054054498672485,0.48969072103500366,1,0,0,0,0.10546875,0,0,0.038910505836575876,,,5048,1024
